,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
263,0.02172347591012553,-0.017358933280289576,0.06086066884239644,0.023723263490501894,158,2,7.0,246.0,0.0,4.6,4.166666666666667,0.408248290463863,0.922077922077922
266,-0.1367181266458719,0.0648004851884918,0.15943489540684802,0.026714365643869625,159,3,3.0,220.0,0.0,1.9,2.8333333333333335,-0.25,-0.0969762275752854
267,0.030986885036096812,0.0624145536119694,0.023536873654471567,-0.0044619818144305354,160,1,0.0,333.0,1.0,4.2,3.6666666666666665,-0.228217732293819,-0.29277002188456
268,-0.003078312512009691,0.03424468248570492,0.050152001943265447,0.01186490421771664,160,2,8.0,424.0,0.0,4.1,4.0,0.939336436627724,0.662266178532522
269,0.003069003038852301,0.03196584214317498,0.0492398109826299,0.008012007316374973,160,3,3.0,400.0,1.0,4.3,4.333333333333333,0.25,-0.447213595499958
270,-0.0778394578453,0.002949354860160773,0.012385639638103298,0.0002083461973882886,161,1,1.0,214.0,1.0,4.4,4.416666666666667,0.6875,0.29277002188456
271,0.012006745562314299,0.11567211031003001,0.01124124207951424,0.006302933367623108,161,3,2.0,282.0,1.0,4.5,4.25,0.918558653543692,0.58131835897618
273,0.012456554949533075,0.13898369200569352,0.012477554570961046,-0.021395156302475075,163,2,7.0,355.0,0.0,3.8,4.083333333333333,0.872871560943969,0.58131835897618
274,-0.021689383105887666,-0.006175240083382612,0.09539184596567363,0.03875045115831271,164,2,2.0,488.0,1.0,3.2,4.0,0.872871560943969,0.2
275,0.00502285960219582,0.027174319062017935,-0.014535627868907585,-0.031543844188595425,164,3,6.0,242.0,0.0,3.5,4.583333333333333,-0.880704845927979,0.8
